Gene,Log2FC,p_value,adj_pval
1-Dec,0.0011185024299448997,0.9530550127541171,0.9878557066131215
1-Mar,-0.024267141337911823,0.6306145300352237,0.8658173017994206
10-Mar,-0.003851800426511163,0.7511794289111698,0.9171977836944593
11-Mar,0.005645572935439865,0.748228182695807,0.9161826658825647
2-Mar,-0.013532477853365659,0.6971728137045611,0.8946521781941994
3-Mar,-0.04687804578113588,0.1570074082311789,0.5017031109512384
4-Mar,0.01671641278571474,0.3139748958777353,0.6629249582003299
5-Mar,0.026697731109203034,0.12713839604431704,0.4610090191364568
6-Mar,-0.01104131326236251,0.8528677171997086,0.9574036925954202
7-Mar,-0.030501044848902013,0.3155221131272198,0.6646838382876951
7A5,-0.02324324318269241,0.237051446132969,0.5931529289487798
8-Mar,-0.01729224956236289,0.42361468763985766,0.7448394323152334
9-Mar,0.007625158001373534,0.7610552260079452,0.922209713898842
A1BG,-0.02033543413186804,0.17628409660818076,0.5267570619006074
A1CF,-0.035138256858058534,0.023304065788685432,0.21087059357190568
A26C3,-0.00899766524221595,0.46833022975289396,0.7752962673449217
A2BP1,-0.011727311722527523,0.21378909004018426,0.5686132090317516
A2LD1,-0.01587576263461517,0.6685813950602364,0.8829567541251887
A2M,-0.023549844217032805,0.30296927533605966,0.6533536552953911
A2ML1,-0.001987088435439657,0.91151438560516,0.9757032251267456
A3GALT2,0.02372391483928618,0.12413542535709511,0.45701498093627824
A4GALT,-0.0642068233695054,5.256502482165009e-4,0.027608704779919793
A4GNT,-0.04005650615521955,0.07772052887320666,0.3728354969270939
AAA1,-0.02453746796675852,0.009700511030532854,0.13627548486612673
AAAS,0.016337000467033107,0.5755617336835848,0.838103706316723
AACS,0.032944758226648226,0.13888045614353792,0.47794737056964615
AACSL,-0.01354936520329638,0.6168417614650107,0.8587635314667712
AADAC,-0.01405662901510991,0.47329771347005445,0.7780775721460189
AADACL1,-9.778391428574469e-4,0.9646322558030457,0.9907005814876783
AADACL2,-0.020019972630494407,0.30351389267026774,0.6538698331706481
AADACL3,-0.010953520052197904,0.5611426162717019,0.8307406510608906
AADACL4,-0.010460784528846336,0.6154179358591687,0.8581118134843481
