Sample,AIM2,BCL2A1,BLNK,C11orf75,C14orf11,C14orf82,C19orf59,C1orf71,C5orf41,C9orf130,CABIN1,CARD16,CARD17,CCDC82,CD274,CLEC12A,CLEC12B,CRIP2,CTSL1,CXorf21,D4S234E,DDX3Y,DSC2,DYRK2,FAM26F,FCGR1A,FCGR1B,FCGR1C,FCGR2C,GBP3,GPR68,GSTM2,HIPK2,IFI16,IGF2BP3,IL7R,IRF5,IRS2,JAM3,KDM1B,KLRB1,LGALS3BP,LMTK3,LOC100128460,LOC100128498,LOC100129067,LOC100130154,LOC100130289,LOC100130332,LOC100130624,LOC100131718,LOC100132199,LOC100132425,LOC100132510,LOC100132728,LOC100132761,LOC147804,LOC283267,LOC387934,LOC389286,LOC389342,LOC389386,LOC390876,LOC391769,LOC400652,LOC402221,LOC439992,LOC440525,LOC441032,LOC642073,LOC642076,LOC642567,LOC643007,LOC643779,LOC643882,LOC644037,LOC644642,LOC645351,LOC646821,LOC646909,LOC646949,LOC647074,LOC647908,LOC648343,LOC648733,LOC648740,LOC648863,LOC648984,LOC649330,LOC649801,LOC649839,LOC651919,LOC652113,LOC653324,LOC653737,LOC654074,LOC727848,LOC728207,LOC728310,LOC728602,LOC728744,LOC729342,LOC729687,LOC730746,MAST3,MIR1974,MIR574,MPL,MS4A2,NDUFA5,NELL2,NHLRC4,NPAT,NUDT2,P704P,PARP9,PIK3AP1,PIK3CG,PIK3IP1,PKN2,PLSCR1,PPIB,PRIM2,PRKCA,PSG9,RNU4ATAC,RYBP,SDPR,SELPLG,SERPING1,SIDT2,SNORA12,SNORD13,SNORD62B,SPOCK2,TARP,TLR5,TMEM106A,TMEM51,TMSB4X,TNFAIP6,TNIK,TRA1P2,TTRAP,TYMP,UHMK1,USP6,VWF,ZNF148,ZNF609,Condition
GSM1033105,8.084173948,10.14517372,7.627134481,8.318431876,8.310075271,7.268398961,8.722434547,9.683068808,10.081890389000002,8.247469818,7.400094099,9.464451723333333,6.5045176950000005,6.689708114,5.938104514,8.071264725499999,5.515056414,6.540914899,6.529956969666666,8.0765678285,6.835414665,8.034168502,8.351777629,7.60800673575,10.0486512,8.502802966,8.315038876500001,8.119116451,7.217823154,8.131191771,6.112085651,6.8635727545,7.263483235,11.45733103,8.093017989,9.867552894,5.835688510500001,8.450683189,7.798716686,6.91032271,11.26099928,6.076131093,6.249737694,7.446046741,7.124299822,8.054727599,11.1961171,8.8368184930000009,5.4821739130000005,8.286504002500001,10.53671855,9.271315568,9.895402473,8.232130918,5.898281081,5.3400653975,9.431502297,7.3012582,8.238550677,7.444880888,12.19315093,7.0309127845,6.550576476,7.712519077,7.935916049,11.2944283,6.749988707,8.464908698,6.672217308,9.849641922,9.969066564,10.76065604,10.38827542,8.59017415,7.247327048,8.550282012,8.382011575,7.227617868,7.72360126,9.71592394,8.611402065,8.023446354,6.739822278,10.06032858,6.079570852,8.045604142,8.47096287,8.253708937,8.516698492,8.955557656,9.962284517,8.019246103,8.458366924,7.286044729,10.562682979,8.560573661,7.267148573,7.13164136,6.161934757,7.728718125,6.389466749,8.248598923,8.877136294,8.268036614,8.98613454,10.61772699,8.157077233,7.924611437,6.492776932,7.373307639,8.906287304,7.106985185,6.830354749,7.2985351204999995,9.352948559,10.180709467,10.62004438,8.685889929,9.17157391,8.568092795,8.474371507,9.644413099,6.334097068,7.698164168,7.667903805,6.935215454,9.496100469,10.37030783,7.166957862,6.50750458,9.752163359,9.584377399,8.850514905,6.553557348,10.77700284,8.378535749,8.562505131,9.207577748,5.930140572,11.091721230000001,8.952500959,6.377192707,9.676698607,9.8691326135,8.807751446000001,6.632614387,8.616318536,6.506223033,9.277758824,6.610076075,ASD
GSM1033106,6.910205088,9.442959151,7.636668089,8.685019476,8.443625519,7.355876821,8.135106906,9.776190769,10.074963764,8.558518524,7.595864421,9.193270751666667,5.9327550085,7.028443388,5.197964343,8.03729427775,5.687630766,6.388941128,6.519761629666666,7.8442698155,7.13820408,8.740602288,7.3491905985,7.81968512725,10.47971456,6.974568297,7.255625105,6.965004036,6.709222488,7.886073412,6.08215805,7.563633491500001,7.100161373,10.82280154,7.278397422,10.749607078499999,5.824328550500001,8.350362817,7.524190536,7.296120103,10.94517686,6.366927147,6.085868339,7.33092988,7.131398442,8.537012472,11.2628077,8.92519571,5.873781419,8.798644123999999,11.2944283,9.661116426,9.719318183,8.215510597,6.010080735,5.818606452,9.483393101,7.270981477,7.865060681,7.436093791,12.193101785,6.4330283825,7.143944404,7.147882837,8.553081739,11.64459301,6.779932676,8.198436068,7.209444643,9.770833676,9.958166316,10.57120349,11.18887039,8.952627942,7.991096926,9.072921759,8.771088909,7.382876792,7.898190746,10.252716185,9.580893134,8.355637147,6.811000774,11.10042001,6.390384429,8.453644658,8.401194868,7.819994061,8.698261876,8.916775932,10.59112056,7.878789204,7.081973025,7.538848338,10.588176682,9.034908585,7.482094906,7.540978433,6.471582473,7.750818668499999,5.671706957,8.872440421,9.301161177,8.744507777,9.172646493,10.56648512,8.156891397,6.964523953,6.139156057,7.732709177,9.053288115,7.816202316,7.078517261,7.404187933499999,9.578052448,8.9906541815,10.36607127,8.65684078,9.673017593,8.579779749,7.12302552,8.658115832,6.448778952,7.74807142,7.011126054,6.811211646,9.566293625,9.891428348,6.932115101,5.9285884945,9.613702269,9.750084155,9.278408209,6.862462801,11.04028675,7.952712632,7.854060181,9.752953497,6.247772964,11.408907791,7.243689318,6.829647294,8.681152317,9.544926590500001,8.0981859705,6.507340065,8.229276708,6.00503915,9.349485604,6.66052846,ASD
GSM1033107,7.0432251495000004,9.508367671,7.133399337,8.439507103,7.974296355,6.825685016,9.067692753,10.08007617,9.905026131,8.553868764,7.828057583,8.601240927000001,5.8471335755,6.4614508409999996,5.123474224,9.38079323775,5.441794673,6.629964881,6.786139960333333,7.0445665165,7.100419268,8.532203309,7.799125780000001,8.186003423499999,9.818683125,6.822383471,7.038690918,6.78756992,7.14841561,7.473375535,6.069929559,7.6359991035,7.104549562,10.54916391,7.522213326,11.17631274,6.3971363100000005,8.428274817,7.608925875,6.223339243,11.59910165,6.177894288,6.696857562,7.471771144,6.891145202,8.401838669,11.04817294,8.349657403,6.3384804765,9.071345237500001,11.1744898,9.748631542,9.322969947,7.987634336,6.006680322,6.476653483,9.043410832,7.396299143,7.541624435,7.621435546,12.487145125,6.6483026395,7.369090476,7.139244345,8.193445061,11.02634174,6.497807236,7.673559158,7.082926406,9.278408209,9.34479693,10.05059931,10.75141955,8.837737358,7.569962952,9.0933966735,8.389949537,7.114073692,7.915037024,10.35466354,9.78827673,8.334147361,6.576858211,10.82133624,5.987473692,8.437679948,8.052419783,8.168494258,8.680341872,8.920228726,10.49107144,7.081973025,6.885987292,7.276368223,11.1735504295,8.558922766,7.236431003,7.821775906,6.253387196,7.532994458,5.284240244,8.7137299595,8.943115895,8.145251705,8.911967543,9.304595131,6.560437192,7.744437398,6.012530318,7.456594042,9.880040804,6.124593164,7.301000911,7.166896208500001,9.34889606,8.788992304,10.18433881,8.728408033,10.04967598,8.453644658,7.497194788,8.252300324,6.085046563,8.232130918,7.204792572,7.072995485,9.272344137,9.833656579,7.128987639,5.640387971999999,9.326648485,9.657011781,9.043971751,6.967615547,11.64225432,8.407526498,7.779290271,9.440587232,6.237806237,11.089682466500001,7.4131974175,6.691811235,8.581333225,9.367900568,7.6987115645,6.420824332,7.741596708,6.325776266,9.241306706,6.723434512,ASD
GSM1033108,7.0113371440000005,10.28419396,7.546271331,8.067861053,8.601307529,7.432913301,8.870136551,9.967361797,10.0077379345,8.53471813,7.842864163,8.855921968333334,5.9602217835,6.973552807,5.052597668,9.3304391035,5.790383765,6.349962757,6.268052435666666,7.654462749,6.975527986,8.848636727,7.8329487485,7.894930507000001,9.996277099,6.789126275,7.038849618,6.647994849,6.953446713,7.792417455,6.302886253,7.493797947,6.796577194,10.48886699,7.669866841,11.0766316135,6.1130998165,8.500076822,7.789741314,6.851912105,11.60344386,6.249064235,6.363505592,7.395239876,6.994473221,9.253765087,11.1995478,9.234852575,5.701500906,8.992293667,11.11693658,9.92659728,9.880040804,8.160868308,6.517239473,5.3415539,9.627801572,7.270981477,8.159462767,7.362968213,12.366578885,6.532400612,7.658024559,7.491051859,9.0688022,11.47385009,7.315016296,8.630066751,7.865347841,9.555895899,10.14698306,10.76865421,11.44317474,9.296302669,7.724765246,9.3316766285,8.500840313,7.579039516,8.089905072,10.80422915,10.12021126,8.650341236,7.431293127,11.06058821,6.052785479,8.729347288,8.555032971,8.091447575,8.885901974,9.373476267,11.10200721,7.686374339,6.452425933,7.603667038,10.762739354,8.947669358,7.6269809445,8.02897395,6.559043956,7.7866724565,5.607857918,8.9669019645,9.445524801,8.756502918,8.891083718,9.556503876,8.188079245,7.76458576,6.214738185,7.894774994,9.942493654,6.199928462,7.171201085,7.1140824935,9.619406123,8.634503548000001,10.15001566,8.504722463,9.810198251,8.555406016,7.449318346,9.042802764,6.097412058,8.030650928,7.138712675,6.823270799,9.130322233,9.894660041,6.898082613,5.671024616,8.98515354,9.674490156,9.223560538,6.943269926,11.29250708,8.31495169,7.688721581,9.648631221,6.165035997,11.537262026,7.458056039,6.578046445,9.028223061,9.876181846,7.946000955500001,6.463004012,8.274160381,5.930378847,9.265367317,6.816824832,ASD
GSM1033109,6.843223929500001,9.352948559,7.542941957,8.090223139,8.373080351,7.451320603,8.651842628,10.15387342,10.2539878575,8.5438278,7.771037356,8.634186180333334,5.9673940215000005,7.075313219,5.222132884,9.256121381,5.887817369,6.204074312,6.838180382333333,7.692027412,6.91617875,8.965354173,7.534859175999999,8.09162147125,10.08087619,7.053480899,7.3647409825,6.958920182,6.694729199,8.436832,6.134526179,6.791771774,7.114456285,10.68335756,7.793078518,10.7362913485,6.6993125525,8.736319123,7.46263384,7.186586753,11.35862432,6.578979593,6.577452285,7.529630178,6.929969318,8.590559131,11.06971147,8.827634998,5.550947109,8.707205862,11.46341215,9.672341834,9.899470458,8.290778636,6.295683841,5.389607351,9.531191462,7.686374339,7.550990562,7.32387028,11.9628150425,6.8852935045,7.19473537,7.04234393,8.903024982,11.49786116,6.937687082,8.26132883,7.484430999,9.984461451,10.07832483,10.86533376,11.25741597,9.220645465,7.59500066,9.149755891,8.694055158,7.388898754,7.991096926,10.414083625,9.584377399,8.341318519,7.397110379,11.10367233,6.47587783,8.763861005,8.518710206,7.253519631,8.761510347,9.246234513,10.70349809,7.691716688,6.616984871,7.670998775,10.3252762925,8.810820353,7.523635263499999,7.474140619,6.621247845,7.844326402,5.927342555,8.911766159999999,8.935512172,8.870645279,9.26842323,10.1576378,8.260677125,7.885174748,5.629434662,7.870348124,9.563688732,6.056784052,7.300477862,6.851309033,9.626343999,9.232274589,10.45832561,8.598103425,9.377719185,8.617903145,6.929514099,8.69534071,6.058897368,8.050200948,7.088372305,6.251883843,9.348331014,10.37568928,7.143687007,5.7885121569999995,9.761833039,9.218345925,8.498872713,7.000288259,11.21342954,8.211489513,7.100161373,9.929947586,6.130179391,11.4775360095,7.5039175205,6.790898911,8.991602561,9.713934935,7.9338403995,6.578242895,8.575330586,5.761451224,9.140197566,6.886902085,Control
GSM1033110,6.802958223999999,9.980920256,8.248484618,8.007656722,8.58526886,7.616535717,8.273767,9.849641922,9.8888062165,8.655542275,7.795140068,8.774646729666667,5.971271746499999,7.432399287,5.117443522,9.138500639,5.71135556,6.600899499,6.634818367333334,7.9656297765,7.003600915,8.982164101,7.911601343999999,7.75509998125,10.67300973,6.384169933,6.6921341745,6.196608009,6.653596791,8.157631324,6.003004693,7.8075469905,6.814831631,10.41208953,8.189108394,10.834138602,6.363482566,8.471652831,7.089877704,7.091644382,11.23556873,6.245431615,6.086644265,7.688109247,7.152713484,9.029271532,11.38957825,9.288400503,5.6443670535,9.220802517,11.49346664,10.33533419,10.00800106,8.205783238,6.359762048,5.375970658,9.974007303,7.366206788,8.018973607,7.118960373,12.45399359,6.752964897,7.460681336,7.382372096,9.16599968,11.40138372,7.449572068,8.313079374,7.868807041,9.494120907,10.33417236,10.92880101,11.55542192,9.539299864,7.840690624,9.354898938,8.654778198,7.679748896,8.100468689,10.82057328,10.11926183,8.84349981,7.234240441,11.43073743,6.201332766,8.993521292,9.016481399,7.646258997,9.205495992,9.207117557,11.04817294,8.218607776,7.777196396,7.784271757,10.859067154,9.283852984,7.3825211385,8.168123426,6.663211133,8.0094091965,5.459582603,9.1184421955,9.444219515,8.778882905,8.993962089,9.700114038,8.242810949,7.137674547,6.307358997,8.203763089,9.448045717,7.140692309,7.052296124,6.841394083,9.669651286,8.8303203685,10.53998828,8.419302043,9.559761479,8.22006072,7.182996006,8.907191932,5.96899671,7.918778673,6.927225963,6.601704435,9.178665982,9.959079912,6.869992495,5.8275367185,9.609541792,9.329766186,9.445524801,6.848520835,11.1590968,7.962274789,7.314471006,10.03801923,6.1003303,11.7983320725,8.1149233575,6.625656968,9.051744615,9.828891912500001,7.9025235915,6.358826562,8.237834008,5.835965141,9.259632544,6.833869891,Control
GSM1033111,7.075269115,9.664692924,7.367010698,7.986173731,8.409823879,6.87949928,8.259959718,9.78299777,9.938654105,8.494348108,7.736760786,8.528678686333334,5.965502196,6.93089725,5.094140078,9.153776799,6.041929696,6.338688573,6.144082051333333,7.9501539885,7.270684559,8.51286775,8.2656151745,7.6591074075,9.966589984,6.515475287,6.6753549969999995,6.341492904,6.666528831,7.90774661,6.110156904,7.8055783795,7.174131479,10.557584,7.701915717,10.6270843025,5.848241378499999,8.723310278,7.240517705,6.90620812,11.49786116,6.201833771,6.434883921,6.776523277,6.849198883,8.615053487,11.41753157,9.277164275,5.709205906499999,8.5830917915,10.76329368,9.739078457,10.16714438,8.143502484,6.38577399,5.4299337649999995,9.685983663,7.483931769,8.55733039,7.193991027,12.322176505,6.7726481475,7.032713131,7.06341978,8.651466112,11.36638922,7.024309284,8.328934414,7.39683475,8.639663482,9.979286588,10.69324256,10.79485188,9.061852388,7.590486932,9.06697736,8.357007951,7.377943578,8.016040512,10.38525833,9.282025297,8.230700154,6.963507636,10.56430748,6.529046759,8.742721793,9.060820234,7.278874383,8.84013166,9.201576841,10.5813468,7.712825487,8.148458666,7.520268446,10.7213936515,8.873454686,7.1666377865,7.353207534,6.297919191,7.866334096,5.421131779,8.627011954,9.54068306,8.562505131,8.974102525,10.01914498,8.387298308,7.845896825,6.099610544,7.762401329,9.009183079,6.796345872,7.006674361,7.1844455205,9.674490156,8.750394624,10.2203621,8.354895325,9.551149751,8.109858806,6.9864608,10.24791954,6.372529493,7.872442499,6.866772854,6.639645502,8.731961772,10.10449022,7.226604757,5.783531184,8.69865028,9.545633849,9.036549483,6.777200839,11.0920815,7.956210248,7.45358757,9.480056745,6.025584788,11.401423850499999,7.417297326,6.601530729,9.872850475,9.6191615165,7.213074861,6.039880201,8.429428421,6.197092929,9.433486743,6.754407043,ASD
GSM1033112,7.406758909000001,10.02253676,7.278161953,8.78682098,8.287419872,7.284188654,8.895768205,9.458907607,9.8511055455,8.437679948,7.738268551,9.116567289,6.0227026079999995,6.820418009,5.33910798,9.69207574575,6.19886961,6.105374971,6.69955204,8.006476939999999,6.976755905,8.587817537,7.0603682160000005,7.6266618712500005,9.377120308,7.577364422,7.744979573,7.5558855,6.88620943,7.822076301,6.000789719,6.8510345545,7.085415095,10.60950978,7.669589534,10.370517655,6.681628356999999,8.596451932,7.419519461,7.262720117,11.0920815,6.356903661,6.163339227,7.951140551,6.922983028,8.264663764,11.29077073,8.822470603,5.89244842,8.700654996499999,10.97894149,9.438818906,9.68042059,8.276776978,6.124756248,5.595103712,9.421407056,7.550990562,8.082778165,7.370437545,12.21903114,6.671203317,7.311603515,7.279600271,8.169520488,11.4512698,6.70731714,8.255756729,7.513648029,10.02993739,10.02523278,10.68335756,10.74877676,8.767983423,7.696180368,8.80950409,8.318431876,7.13392872,7.977237902,10.119318165,9.298769479,8.310075271,6.831050861,10.60594494,6.430132465,8.602519497,8.535477563,8.123435149,8.737533902,8.967762537,10.13246443,7.833699317,6.761956933,7.526963345,10.7127007385,8.83445529,7.316497355,7.512553632,6.491677361,7.895865013,6.019916631,8.617597147,8.84105031,8.276086225,9.173223562,9.985258659,7.77165397,7.738538281,6.136718753,7.580424814,8.766744428,6.927655245,7.066431849,6.669481643999999,9.502024297,9.367298927,10.77964296,8.670877011,9.365626994,8.548799726,7.263717085,8.512110691,6.128921797,7.881780674,7.240278626,6.719745015,9.396874577,10.08531366,7.470126192,5.970626093,9.871198472,9.200460675,8.562505131,6.547603086,10.92880101,7.108877077,7.803553908,9.537152669,6.305137973,11.356589614,7.669739799,6.513911092,8.797106228,9.726329946,8.148502891,6.057177706,8.330851466,6.353158292,9.451216066,6.723434512,Control
GSM1033113,6.7085593535,9.761060888,7.570406732,8.2825149,8.396101116,7.058444406,9.057516814,10.1767198,9.8730725615,8.488858586,7.513071706,8.872374625666666,5.906187065499999,7.024552816,5.091970919,9.2935614235,6.041528063,6.396656214,6.909645129333334,7.4783194155,6.790212807,8.895768205,7.7158487104999995,8.09496511175,9.865305397,6.801478011,7.029831621,6.687205622,6.71011354,7.72360126,5.938468475,7.86121442,7.211229335,10.33533419,8.42905491,11.087065752000001,6.3250916165,8.024153099,7.619005336,6.667338914,10.80020692,6.581253604,6.788929904,7.29333864,6.784520166,8.92322505,11.30227484,8.878992985,5.5935520325,8.861148698500001,10.7783375,9.889011284,9.727295733,7.831514985,6.149939699,5.3363905670000005,9.823435625,7.546271331,7.835205506,7.0602884,12.290107814999999,6.621950103,7.338581989,6.908032337,8.848181056,11.48626096,7.100916075,7.94169217,7.639027445,9.442396954,10.28512281,10.31779865,11.40535586,9.203201208,7.380540736,9.116862648000001,8.688863981,7.108644662,7.827171358,10.450800675,9.500675086,8.403338293,6.900813495,10.90605449,6.11510208,8.622313563,8.649510731,7.521379001,8.604988108,9.184141496,10.56887799,7.616240447,6.932812972,7.48552892,10.6951203565,8.930211196,7.2789580905,7.83216654,6.386837442,7.8276976425,5.575690372,8.9417321965,9.304037983,8.483743249,8.860694314,9.354065499,7.997018775,7.394959783,5.821269055,7.718068536,9.530595357,7.054942657,7.104811726,7.3318139205,9.564328253,8.909669065,10.39638411,8.315290692,9.68042059,8.224235123,7.502274867,8.611402065,6.048367141,8.073503832,6.793131194,6.316668478,9.6626105,10.09644537,7.216198209,5.6410173165,9.615990526,8.928671061,9.305215492,6.885987292,11.41338912,7.901209307,7.924253964,9.564990068,6.230157577,11.3730195975,7.1870067315,6.936106235,8.755674099,9.515878044,7.8111007919999995,6.537458156,8.119447083,5.888504644,9.111035086,6.74626573,ASD
GSM1033114,6.9444270715,10.00800106,7.571128248,8.508090239,8.314178099,7.333570168,8.43376373,9.783747965,10.2152861725,8.680341872,7.865696523,8.906925198333333,5.9599560485000005,6.866077612,5.441738392,10.095129196,6.074511644,6.620833856,6.461906730666667,8.050324257,6.41536001,8.847224048,7.9042296185000005,8.0730182175,10.16428624,6.801952626,7.2228315185,6.879913351,7.025006388,7.458048379,5.76366633,7.9107117,7.009512536,10.80668255,7.575482982,11.09939094,6.1841625775,8.346326268,7.25122959,6.784295196,10.40996535,6.620238003,6.803514297,7.592118811,6.97600449,8.618264135,11.10367233,8.727532013,5.8405402245,8.6211746955,11.31001845,9.615990526,9.640115389,8.21114955,6.267555729,5.6599807915,9.645118991,7.366739225,7.45631534,7.505144226,12.004837295,6.6639058339999995,7.161031885,7.069071775,8.503149751,11.37412106,6.73309302,7.962589436,7.351229939,9.723754992,9.840665334,10.28720939,11.0920815,8.689266512,7.90689875,8.9684014175,8.782468031,7.087102475,7.903469531,10.37658218,9.546333222,7.991427079,6.628284451,10.71999783,6.430505486,8.254708021,8.735884878,7.519993997,8.781121917,9.137320494,10.43282046,7.614264621,6.312912198,7.321548482,10.5037767355,8.707221172,7.1898469095,7.54495781,6.60896985,7.662440760500001,5.671026353,8.7588299165,8.843947296,8.679924507,9.13525136,9.348331014,8.15379794,7.433168942,6.418667701,7.689032478,9.832128878,7.546271331,7.381086193,6.8450124545,9.43483644,9.2694640735,10.34851078,8.705061884,9.971499665,8.801165107,7.368298614,8.622750006,6.177251515,8.144519387,7.048793094,6.451875339,9.21727506,9.637280403,7.409481432,6.0124480165000005,9.488916643,9.707282848,8.956979207,7.046611394,11.19062917,7.363244037,7.344131492,10.14698306,6.0509365,11.305685514,7.877223566,7.004504789,8.747971344,9.619571494,7.635700412,6.655841169,8.544218527,6.091819061,9.431502297,6.801042357,Control
