Sample,BLNK,C14orf82,C19orf59,CLEC12A,CTSL1,D4S234E,DSC2,FAM26F,FCGR1A,FCGR1B,FCGR1C,GBP3,GSTM2,HIPK2,IGF2BP3,IRF5,IRS2,JAM3,LGALS3BP,LMTK3,LOC100130332,LOC100132199,LOC283267,LOC389286,LOC400652,LOC439992,LOC441032,LOC642073,LOC643779,LOC646909,LOC646949,LOC648343,LOC649839,LOC652113,LOC653737,LOC728207,LOC730746,MAST3,MIR1974,MPL,MS4A2,NHLRC4,NUDT2,PKN2,SDPR,SIDT2,SNORD13,TARP,VWF,ZNF609,Condition
GSM1033105,7.627134481,7.268398961,8.722434547,8.071264725499999,6.529956969666666,6.835414665,8.351777629,10.0486512,8.502802966,8.315038876500001,8.119116451,8.131191771,6.8635727545,7.263483235,8.093017989,5.835688510500001,8.450683189,7.798716686,6.076131093,6.249737694,5.4821739130000005,9.271315568,7.3012582,7.444880888,7.935916049,6.749988707,6.672217308,9.849641922,8.59017415,9.71592394,8.611402065,10.06032858,9.962284517,8.458366924,10.562682979,7.13164136,8.268036614,8.98613454,10.61772699,7.924611437,6.492776932,7.106985185,7.298535120499999,8.568092795,10.37030783,9.752163359,8.850514905,8.378535749,6.506223033,6.610076075,ASD
GSM1033106,7.636668089,7.355876821,8.135106906,8.03729427775,6.519761629666666,7.13820408,7.3491905985,10.47971456,6.974568297,7.255625105,6.965004036,7.886073412,7.563633491500001,7.100161373,7.278397422,5.824328550500001,8.350362817,7.524190536,6.366927147,6.085868339,5.873781419,9.661116426,7.270981477,7.436093791,8.553081739,6.779932676,7.209444643,9.770833676,8.952627942,10.252716185,9.580893134,11.10042001,10.59112056,7.081973025,10.588176682,7.540978433,8.744507777,9.172646493,10.56648512,6.964523953,6.139156057,7.816202316,7.404187933499999,8.579779749,9.891428348,9.613702269,9.278408209,7.952712632,6.00503915,6.66052846,ASD
GSM1033107,7.133399337,6.825685016,9.067692753,9.38079323775,6.786139960333333,7.100419268,7.799125780000001,9.818683125,6.822383471,7.038690918,6.78756992,7.473375535,7.6359991035,7.104549562,7.522213326,6.3971363100000005,8.428274817,7.608925875,6.177894288,6.696857562,6.3384804765,9.748631542,7.396299143,7.621435546,8.193445061,6.497807236,7.082926406,9.278408209,8.837737358,10.35466354,9.78827673,10.82133624,10.49107144,6.885987292,11.1735504295,7.821775906,8.145251705,8.911967543,9.304595131,7.744437398,6.012530318,6.124593164,7.166896208500001,8.453644658,9.833656579,9.326648485,9.043971751,8.407526498,6.325776266,6.723434512,ASD
GSM1033108,7.546271331,7.432913301,8.870136551,9.3304391035,6.268052435666666,6.975527986,7.8329487485,9.996277099,6.789126275,7.038849618,6.647994849,7.792417455,7.493797947,6.796577194,7.669866841,6.1130998165,8.500076822,7.789741314,6.249064235,6.363505592,5.701500906,9.92659728,7.270981477,7.362968213,9.0688022,7.315016296,7.865347841,9.555895899,9.296302669,10.80422915,10.12021126,11.06058821,11.10200721,6.452425933,10.762739354,8.02897395,8.756502918,8.891083718,9.556503876,7.76458576,6.214738185,6.199928462,7.1140824935,8.555406016,9.894660041,8.98515354,9.223560538,8.31495169,5.930378847,6.816824832,ASD
GSM1033109,7.542941957,7.451320603,8.651842628,9.256121381,6.838180382333333,6.91617875,7.534859175999999,10.08087619,7.053480899,7.3647409825,6.958920182,8.436832,6.791771774,7.114456285,7.793078518,6.6993125525,8.736319123,7.46263384,6.578979593,6.577452285,5.550947109,9.672341834,7.686374339,7.32387028,8.903024982,6.937687082,7.484430999,9.984461451,9.220645465,10.414083625,9.584377399,11.10367233,10.70349809,6.616984871,10.3252762925,7.474140619,8.870645279,9.26842323,10.1576378,7.885174748,5.629434662,6.056784052,6.851309033,8.617903145,10.37568928,9.761833039,8.498872713,8.211489513,5.761451224,6.886902085,Control
GSM1033110,8.248484618,7.616535717,8.273767,9.138500639,6.634818367333334,7.003600915,7.911601343999999,10.67300973,6.384169933,6.6921341745,6.196608009,8.157631324,7.8075469905,6.814831631,8.189108394,6.363482566,8.471652831,7.089877704,6.245431615,6.086644265,5.6443670535,10.33533419,7.366206788,7.118960373,9.16599968,7.449572068,7.868807041,9.494120907,9.539299864,10.82057328,10.11926183,11.43073743,11.04817294,7.777196396,10.859067154,8.168123426,8.778882905,8.993962089,9.700114038,7.137674547,6.307358997,7.140692309,6.841394083,8.22006072,9.959079912,9.609541792,9.445524801,7.962274789,5.835965141,6.833869891,Control
GSM1033111,7.367010698,6.87949928,8.259959718,9.153776799,6.144082051333333,7.270684559,8.2656151745,9.966589984,6.515475287,6.675354997,6.341492904,7.90774661,7.8055783795,7.174131479,7.701915717,5.848241378499999,8.723310278,7.240517705,6.201833771,6.434883921,5.709205906499999,9.739078457,7.483931769,7.193991027,8.651466112,7.024309284,7.39683475,8.639663482,9.061852388,10.38525833,9.282025297,10.56430748,10.5813468,8.148458666,10.7213936515,7.353207534,8.562505131,8.974102525,10.01914498,7.845896825,6.099610544,6.796345872,7.1844455205,8.109858806,10.10449022,8.69865028,9.036549483,7.956210248,6.197092929,6.754407043,ASD
GSM1033112,7.278161953,7.284188654,8.895768205,9.69207574575,6.69955204,6.976755905,7.0603682160000005,9.377120308,7.577364422,7.744979573,7.5558855,7.822076301,6.8510345545,7.085415095,7.669589534,6.681628356999999,8.596451932,7.419519461,6.356903661,6.163339227,5.89244842,9.438818906,7.550990562,7.370437545,8.169520488,6.70731714,7.513648029,10.02993739,8.767983423,10.119318165,9.298769479,10.60594494,10.13246443,6.761956933,10.7127007385,7.512553632,8.276086225,9.173223562,9.985258659,7.738538281,6.136718753,6.927655245,6.669481643999999,8.548799726,10.08531366,9.871198472,8.562505131,7.108877077,6.353158292,6.723434512,Control
GSM1033113,7.570406732,7.058444406,9.057516814,9.2935614235,6.909645129333334,6.790212807,7.715848710499999,9.865305397,6.801478011,7.029831621,6.687205622,7.72360126,7.86121442,7.211229335,8.42905491,6.3250916165,8.024153099,7.619005336,6.581253604,6.788929904,5.5935520325,9.889011284,7.546271331,7.0602884,8.848181056,7.100916075,7.639027445,9.442396954,9.203201208,10.450800675,9.500675086,10.90605449,10.56887799,6.932812972,10.6951203565,7.83216654,8.483743249,8.860694314,9.354065499,7.394959783,5.821269055,7.054942657,7.3318139205,8.224235123,10.09644537,9.615990526,9.305215492,7.901209307,5.888504644,6.74626573,ASD
GSM1033114,7.571128248,7.333570168,8.43376373,10.095129196,6.461906730666667,6.41536001,7.9042296185,10.16428624,6.801952626,7.2228315185,6.879913351,7.458048379,7.9107117,7.009512536,7.575482982,6.1841625775,8.346326268,7.25122959,6.620238003,6.803514297,5.8405402245,9.615990526,7.366739225,7.505144226,8.503149751,6.73309302,7.351229939,9.723754992,8.689266512,10.37658218,9.546333222,10.71999783,10.43282046,6.312912198,10.5037767355,7.54495781,8.679924507,9.13525136,9.348331014,7.433168942,6.418667701,7.546271331,6.8450124545,8.801165107,9.637280403,9.488916643,8.956979207,7.363244037,6.091819061,6.801042357,Control
