ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0050907,detection of chemical stimulus involved in sensory perception,416,-0.37995774828688145,-2.183624395870451,1e-10,1.015e-7,9.307017543859649e-8,4368,"tags=39%, list=26%, signal=29%",390078/81050/254786/401992/26476/81300/401667/219469/79501/343169/26737/283189/219870/392392/342372/26664/219865/285659/81327/81328/440153/119695/119749/390152/79473/26188/219858/403282/219464/442186/128366/4995/343406/390061/219869/390437/50839/81399/135948/403244/347169/390199/401666/390326/120787/26341/563/5284/50835/390431/127623/338662/79290/26682/392390/219431/391194/126370/26189/390075/50836/81285/284532/50831/219983/343173/79310/391192/390265/403273/390648/196335/390190/338755/119687/442191/441669/26658/283092/344561/50840/128368/81392/390181/219429/390093/390063/259286/119774/391114/343563/9033/346517/390264/1258/26538/8392/392309/403284/441933/127077/283111/390154/286362/134083/81099/401993/26211/389090/390067/390059/7442/121364/391196/390157/80835/403274/390892/402317/347168/26529/26494/391109/26686/402135/26683/341418/283162/219482/256892/259296/390038/138882/1469/344892/64108/341568/135946/219432/219447/5304/390142/26333/284433/79544/504189/4991/4993/390036/219417/79339/441670/26248/79345/119764/2779/441308/390275/81470/219477/119682
GO:0009593,detection of chemical stimulus,453,-0.37401130437549024,-2.1407918067995735,1e-10,1.015e-7,9.307017543859649e-8,4302,"tags=39%, list=26%, signal=30%",254786/401992/26476/81300/401667/219469/79501/808/343169/26737/283189/3164/219870/392392/342372/26664/219865/285659/81327/81328/440153/119695/119749/3779/390152/79473/26188/219858/403282/219464/442186/128366/4995/343406/10333/390061/219869/390437/50839/81399/6648/135948/403244/347169/390199/401666/390326/51167/120787/26341/563/5284/50835/390431/127623/338662/79290/644168/26682/392390/219431/391194/126370/6262/26189/390075/50836/81285/284532/50831/219983/343173/79310/391192/390265/403273/390648/196335/64581/390190/338755/119687/442191/441669/26658/283092/344561/50840/7099/128368/81392/444/390181/219429/390093/390063/7096/259286/119774/391114/343563/9033/845/23643/346517/64127/390264/1258/26538/8392/392309/403284/441933/127077/283111/6857/390154/286362/134083/81099/401993/26211/389090/390067/390059/7442/121364/391196/390157/80835/403274/390892/402317/347168/26529/26494/391109/26686/402135/26683/341418/283162/219482/256892/259296/390038/138882/1469/344892/64108/341568/135946/219432/219447/5304/390142/26333/284433/79544/504189/4991/4993/3929/390036/219417/79339/441670/26248/79345/119764/2779/441308/390275/81470/219477/119682
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,375,-0.3745426211686522,-2.110811819576589,1e-10,1.015e-7,9.307017543859649e-8,4368,"tags=38%, list=26%, signal=29%",390078/81050/254786/401992/26476/81300/401667/219469/79501/343169/26737/283189/219870/392392/26664/219865/285659/81327/81328/440153/119695/119749/390152/79473/26188/219858/403282/219464/442186/128366/4995/343406/390061/219869/390437/81399/135948/403244/347169/390199/401666/390326/120787/26341/390431/127623/338662/79290/26682/392390/219431/391194/126370/26189/390075/81285/284532/219983/343173/79310/391192/390265/403273/390648/196335/390190/338755/119687/442191/441669/26658/283092/344561/128368/81392/390181/219429/390093/390063/119774/391114/343563/346517/390264/1258/26538/8392/392309/403284/441933/127077/283111/390154/286362/134083/81099/401993/26211/389090/390067/390059/121364/391196/390157/403274/390892/402317/347168/26529/26494/391109/26686/402135/26683/341418/283162/219482/256892/390038/138882/341568/135946/219432/219447/390142/26333/284433/79544/504189/4991/4993/390036/219417/79339/441670/26248/79345/119764/441308/390275/81470/219477/119682
GO:0007608,sensory perception of smell,405,-0.35761371888237814,-2.0445082529429435,1e-10,1.015e-7,9.307017543859649e-8,4485,"tags=39%, list=27%, signal=29%",390321/158046/390271/390323/390078/81050/254786/401992/26476/81300/401667/219469/79501/343169/26737/283189/219870/392392/26664/219865/285659/81327/81328/440153/119695/119749/390152/79473/26188/219858/403282/29991/219464/442186/128366/4995/343406/390061/219869/390437/81399/135948/403244/347169/390199/401666/390326/120787/26341/390431/127623/338662/79290/26682/392390/219431/2778/391194/126370/26189/390075/81285/284532/219983/343173/10941/79310/10678/391192/390265/403273/390648/196335/390190/338755/119687/442191/441669/26658/283092/344561/1813/128368/81392/390181/219429/390093/390063/119774/391114/343563/346517/390264/1258/26538/8392/392309/403284/441933/127077/283111/390154/286362/2774/134083/81099/401993/26211/389090/390067/390059/1260/121364/391196/390157/403274/390892/402317/347168/26529/26494/391109/26686/402135/26683/341418/283162/219482/256892/390038/138882/123016/341568/135946/219432/219447/390142/26333/284433/79544/504189/4991/4993/390036/219417/79339/441670/26248/567/79345/119764/441308/390275/81470/219477/119682
GO:0007606,sensory perception of chemical stimulus,469,-0.35228772164373723,-2.0336463057676517,1e-10,1.015e-7,9.307017543859649e-8,4302,"tags=37%, list=26%, signal=28%",254786/401992/26476/81300/401667/219469/79501/317701/343169/26737/283189/219870/392392/342372/26664/219865/285659/81327/81328/440153/119695/119749/390152/79473/26188/219858/403282/29991/219464/442186/128366/4995/343406/390061/219869/390437/50839/81399/135948/403244/347169/390199/401666/390326/120787/26341/563/5284/51764/50835/390431/127623/338662/79290/26682/392390/219431/2778/391194/126370/26189/390075/50836/81285/284532/50831/219983/343173/10941/79310/10678/391192/390265/255022/403273/390648/196335/390190/338755/119687/442191/441669/26658/283092/344561/1813/50840/128368/81392/390181/219429/390093/948/390063/259286/119774/391114/343563/9033/346517/390264/1258/26538/8392/392309/403284/441933/127077/283111/390154/286362/2774/134083/81099/401993/26211/389090/390067/390059/1260/7442/121364/431704/391196/390157/80835/403274/390892/402317/347168/26529/26494/391109/26686/402135/26683/341418/283162/219482/256892/259296/390038/138882/123016/1469/344892/64108/341568/135946/219432/219447/5304/390142/6340/26333/284433/79544/504189/4991/4993/390036/219417/79339/441670/6338/26248/567/79345/119764/2779/441308/390275/81470/219477/119682
GO:0050906,detection of stimulus involved in sensory perception,486,-0.3459362129233441,-2.0080047007469455,1e-10,1.015e-7,9.307017543859649e-8,4517,"tags=39%, list=27%, signal=29%",50834/388531/390321/390271/390323/2916/6010/390078/222662/81050/3776/23621/254786/401992/26476/81300/401667/219469/79501/343169/26737/283189/219870/392392/342372/26664/219865/285659/161497/81327/5475/778/81328/440153/119695/119749/390152/79473/26188/219858/403282/219464/442186/128366/346007/4995/343406/390061/219869/390437/50839/81399/135948/403244/347169/390199/401666/390326/120787/26341/563/5284/50835/390431/127623/338662/79290/84694/26682/392390/219431/391194/126370/26189/796/390075/50836/22911/81285/284532/50831/219983/343173/79310/391192/390265/403273/390648/196335/2898/55584/390190/338755/119687/1301/442191/441669/26658/283092/344561/50840/128368/81392/390181/219429/390093/390063/259286/6387/119774/391114/343563/9033/11280/3249/346517/3356/390264/1258/26538/8392/392309/403284/441933/127077/283111/390154/286362/134083/81099/401993/26211/389090/390067/390059/51761/7442/121364/5961/391196/390157/80835/403274/390892/402317/347168/26529/26494/391109/26686/402135/26683/341418/283162/219482/256892/259296/390038/138882/1469/344892/64108/341568/135946/219432/219447/5304/390142/26333/284433/79544/504189/4991/4993/390036/219417/79339/441670/26248/79345/119764/2779/441308/390275/81470/219477/119682/27185
GO:0002181,cytoplasmic translation,156,0.4907770916960382,2.2042376208493666,2.9150922075261995e-10,2.536130220547794e-7,2.3254983700641338e-7,4276,"tags=53%, list=26%, signal=39%",6208/26986/6167/6142/6143/27335/1968/1819/51386/2197/8666/6146/6124/8664/1975/6156/6125/7311/54956/11224/6202/6188/6169/6207/8667/6222/6204/6147/6165/6191/6193/8665/4736/6194/6161/51389/6155/7812/4733/221120/6128/8894/170506/23521/6132/6130/1974/25873/56339/6158/1967/2107/51441/3184/24140/6209/3646/6137/6218/6228/8661/6138/6135/6217/6187/4904/200916/6139/6224/6129/64506/6234/6157/8663/6175/6203/6173/6133/6136/8662/6176/8892
GO:0022613,ribonucleoprotein complex biogenesis,386,0.37628168182126853,1.8923125857056677,9.34047532510379e-10,7.110436841235261e-7,6.519897578904687e-7,3107,"tags=32%, list=19%, signal=26%",55153/54552/6208/10262/100151683/8175/27335/153443/1968/5036/55661/81875/51386/2197/9733/55646/8666/54960/29063/8664/1975/23404/6125/2971/472/27043/6838/51388/7536/6733/11224/28987/6202/85865/6169/23076/6207/8667/9879/6165/6191/6193/29777/6634/56949/54853/83732/10436/83743/8665/84128/50628/1662/6194/10594/708/51187/92345/134430/6155/113000/55794/26121/7520/55003/10799/65095/55692/54700/6839/79707/51154/8894/23521/8886/9724/27079/84135/6130/84946/2091/84881/23020/81887/23212/80135/10291/57602/26149/1653/51367/11171/55341/9416/54913/27339/96764/51441/54475/6627/23451/6209/55272/51116/1736/3646/57819/26835/26284/25983/6218/10600/8996/10978/6228/8661/27340/6637/117246/6135/6217/57647
GO:0042742,defense response to bacterium,296,-0.3508655314895449,-1.9432546964202264,2.4493276711700673e-9,1.6573783908250787e-6,1.5197290404160477e-6,4083,"tags=36%, list=24%, signal=28%",4843/4790/7432/6556/6283/90865/6700/5553/57115/2207/57817/840/5544/10333/3570/54210/23166/3346/503841/1672/100507436/353144/6280/56169/5650/4615/2358/3606/351/140832/5580/245932/122651/796/5897/23208/81035/1670/64332/163351/9971/5027/5587/245908/2896/7099/353142/948/1755/504180/245909/6779/2243/3148/259239/58484/2220/7425/64127/85569/3553/1610/3586/6279/133/10392/4939/79792/4671/2633/414325/22861/338339/115361/29108/2634/84868/4940/85480/130120/115362/58985/353143/7110/90070/4852/306/613209/114770/117285/6565/9636/4938/331/3593/3929/6338/837/567/55876/834/56833/6868/1113/245936/2209/2635
GO:0070269,pyroptotic inflammatory response,37,-0.6627665114637863,-2.5218414631974664,2.728308466213208e-8,1.6615398559238438e-5,1.5235448856064285e-5,2251,"tags=49%, list=14%, signal=42%",841/4210/58484/9839/81030/79792/4671/2633/22861/29108/2634/115362/3429/9447/837/55876/834/2635
