Gene,Log2FC,MeanExpr,t_stat,p_value,adj_pval,B_stat
1-Dec,0.0011185024299448997,5.3155001347483,0.05897032238301739,0.9530550127541171,0.9878557066131215,-6.236901274193505
1-Mar,-0.024267141337911823,8.315171465540816,-0.4818601851658676,0.6306145300352237,0.8658173017994206,-6.126168639624473
10-Mar,-0.003851800426511163,5.228113948840136,-0.3176726436572331,0.7511794289111698,0.9171977836944593,-6.189704069919707
11-Mar,0.005645572935439865,5.302799883965986,0.32157315733247904,0.748228182695807,0.9161826658825647,-6.188496744690622
2-Mar,-0.013532477853365659,6.824223229202381,-0.3898948865968917,0.6971728137045611,0.8946521781941994,-6.164964064421439
3-Mar,-0.04687804578113588,6.798791336575964,-1.4223982338483494,0.1570074082311789,0.5017031109512384,-5.26508792920915
4-Mar,0.01671641278571474,4.902489729319728,1.0103413049048007,0.3139748958777353,0.6629249582003299,-5.745711343535704
5-Mar,0.026697731109203034,6.409625655278911,1.5340757176855155,0.12713839604431704,0.4610090191364568,-5.107510768498928
6-Mar,-0.01104131326236251,7.991711449795918,-0.1857838930554414,0.8528677171997086,0.9574036925954202,-6.2218635309376005
7-Mar,-0.030501044848902013,10.996687960272109,-1.0071051925504992,0.3155221131272198,0.6646838382876951,-5.748852530045888
7A5,-0.02324324318269241,5.433829553095238,-1.1871810683815682,0.237051446132969,0.5931529289487798,-5.558993154569595
8-Mar,-0.01729224956236289,5.6487976703768705,-0.8023808353817884,0.42361468763985766,0.7448394323152334,-5.927320962824862
9-Mar,0.007625158001373534,5.682355213959184,0.30465520990250733,0.7610552260079452,0.922209713898842,-6.1936268617330335
A1BG,-0.02033543413186804,5.415606130561224,-1.358755078617007,0.17628409660818076,0.5267570619006074,-5.349711067611547
A1CF,-0.035138256858058534,5.276873586909297,-2.292112975270988,0.023304065788685432,0.21087059357190568,-3.7384652582739135
A26C3,-0.00899766524221595,5.274382675927438,-0.7270655369692234,0.46833022975289396,0.7752962673449217,-5.98290973311403
A2BP1,-0.011727311722527523,5.119634588386054,-1.2485638631207217,0.21378909004018426,0.5686132090317516,-5.487289282979536
A2LD1,-0.01587576263461517,6.156266551619048,-0.42894962278013704,0.6685813950602364,0.8829567541251887,-6.14948623031145
A2M,-0.023549844217032805,5.063323380687075,-1.0336728110080313,0.30296927533605966,0.6533536552953911,-5.72277030403998
A2ML1,-0.001987088435439657,4.935352743938775,-0.11131810692725524,0.91151438560516,0.9757032251267456,-6.2325820698664876
A3GALT2,0.02372391483928618,5.295915818585034,1.5464026445740595,0.12413542535709511,0.45701498093627824,-5.089410867131481
A4GALT,-0.0642068233695054,5.094527494741497,-3.544859823687364,5.256502482165009e-4,0.027608704779919793,-0.4026410845003827
A4GNT,-0.04005650615521955,5.464996973469388,-1.776362172763441,0.07772052887320666,0.3728354969270939,-4.726200080391244
AAA1,-0.02453746796675852,5.2528814932598635,-2.6202101992581217,0.009700511030532854,0.13627548486612673,-2.989244410847032
AAAS,0.016337000467033107,6.1012882384557825,0.5611193844424947,0.5755617336835848,0.838103706316723,-6.086188810318158
AACS,0.032944758226648226,5.697485274693878,1.4879638346225827,0.13888045614353792,0.47794737056964615,-5.173973959276642
AACSL,-0.01354936520329638,5.89696763537415,-0.5013860759980284,0.6168417614650107,0.8587635314667712,-6.116881441757837
AADAC,-0.01405662901510991,5.386703414544217,-0.7189558500854467,0.47329771347005445,0.7780775721460189,-5.988571346227899
AADACL1,-9.778391428574469e-4,7.079978083935374,-0.04441626463738717,0.9646322558030457,0.9907005814876783,-6.237630369658673
AADACL2,-0.020019972630494407,5.364991855163265,-1.0325050235798199,0.30351389267026774,0.6538698331706481,-5.72393081625691
AADACL3,-0.010953520052197904,5.278093618741496,-0.5824561686872148,0.5611426162717019,0.8307406510608906,-6.074392472314955
AADACL4,-0.010460784528846336,4.9368450271904765,-0.503415530708119,0.6154179358591687,0.8581118134843481,-6.115895073555303
