Gene,Log2FC,MeanExpr,t_stat,p_value,adj_pval,B_stat
LOC100132510,-0.3000849524244511,8.229150153421768,-5.949077244752657,1.8563233307242753e-8,1.4584204247835268e-4,9.077562153297398
LOC283267,0.20440594469230794,7.186326448523809,5.9657371862232536,1.709789302427126e-8,1.4584204247835268e-4,9.154508927644173
LOC653324,-0.33231930096016626,7.2726511953877555,-5.9552205032826455,1.800909768372915e-8,1.4584204247835268e-4,9.105920894719755
ZNF609,0.20353420636813263,6.5388326963469385,6.006227455203947,1.3993175522397162e-8,1.4584204247835268e-4,9.342053054382907
LOC389286,-0.3504776265398364,7.328685477421769,-5.639272189945575,8.359765229189858e-8,3.283924776156506e-4,7.670693663685169
LMTK3,0.2042593638008249,6.447879857632653,5.553604359027442,1.256820043353656e-7,3.866552420220116e-4,7.289984171692909
LOC728602,-0.20153776292239062,7.7354921220986395,-5.459942358012273,1.954372148765731e-7,5.000057839336667e-4,6.878035779416328
LOC100130154,-0.22116592755494516,11.135159750204082,-5.4287257184490585,2.2618828372357181e-7,5.077280717354977e-4,6.741748719035373
LOC100132728,-0.23253646077472545,6.114448227829932,-5.369297231004451,2.9831205738902553e-7,5.514561597357362e-4,6.483710372602502
LOC646821,-0.20950847547527582,7.831079616979592,-5.34621824097309,3.3199463053737497e-7,5.796257366259748e-4,6.384006769443962
GPR68,0.229227316206045,6.143520637353742,5.108041319507382,9.846275254147125e-7,9.219318454825164e-4,5.3719690821908195
LOC100128498,-0.2370226790824183,6.826647563353742,-5.123154237526973,9.198504839834938e-7,9.219318454825164e-4,5.43525262315919
CABIN1,0.20392395618269296,7.5614164919523805,4.9547531451057525,1.9492616577483056e-6,0.0011467848468766058,4.737437785432553
LOC648740,-0.3495701263392869,8.055308158081633,-4.94782466717346,2.0097322333653617e-6,0.0011467848468766058,4.709077313432585
PRKCA,0.21123151539972565,7.787695291265306,4.902392416352823,2.4538148047922274e-6,0.0012852264009233423,4.523803585466371
ZNF148,0.269097150527474,9.499992741897959,4.852412468298577,3.0522523658940923e-6,0.0014923737367062663,4.321387169060525
LOC646949,-0.43613695170192446,9.389486670380952,-4.8401207450406725,3.2198236654895154e-6,0.0015331239168435379,4.271833105810174
LOC100130332,-0.20732900062774742,5.983703578105442,-4.796056604612146,3.896943492356509e-6,0.001700907585983273,4.094929782102669
DYRK2,0.20573141308516527,7.876827869719388,4.7343705227141974,5.080695812990919e-6,0.00204699931562888,3.849242457634416
TMSB4X,-0.21961148363942404,11.06940676807143,-4.705737510117678,5.741940934666986e-6,0.002200563851376155,3.7359859577272765
LOC400652,-0.3885707213983525,8.128917844836735,-4.645802991477967,7.4060123548650235e-6,0.0024722031284986944,3.500544890084564
LOC653737,0.26535554042719944,10.940370191877552,4.65335862403741,7.1730402801876044e-6,0.0024722031284986944,3.5301037774841575
P704P,-0.25973221778708844,9.236462873435373,-4.664844194228962,6.832397320451594e-6,0.0024722031284986944,3.5751047969297964
SPOCK2,0.2556292697390112,11.093143924897959,4.661047291287501,6.943240130789742e-6,0.0024722031284986944,3.5602193375917555
KDM1B,-0.20945786211126452,6.558112747972789,-4.598418099745534,9.042612273235739e-6,0.0028417313329870634,3.315975050862999
LOC730746,-0.2113862314629125,8.29819608480272,-4.5274707370982705,1.2161783031199252e-5,0.0035388536438747007,3.042252308191106
IGF2BP3,-0.2794028883530229,7.6763807947278915,-4.514602995906292,1.2829060958266174e-5,0.0036651460879497527,2.9929472711699283
C14orf11,-0.20888158160302267,8.253806761442178,-4.499443390449916,1.3660500873656711e-5,0.0037008181073753085,2.934995376827663
NPAT,0.21596140057829705,7.1919377478163264,4.471773839774793,1.531377923109411e-5,0.003912608342409459,2.8295980285797757
HIPK2,0.21164873167994583,6.849125485510204,4.419911471760566,1.8945933770419022e-5,0.004443245631859613,2.633367882595886
CLEC12B,-0.20689627978571468,5.688534393537415,-4.414813976563683,1.9344671555749408e-5,0.00450315295045171,2.6141741240175467
LOC654074,-0.24106171003846252,8.56990991,-4.395810320768606,2.0903529719627852e-5,0.004626157218091724,2.542767218188242
C1orf71,0.25398939066071496,9.8688473917483,4.384635457371901,2.1875872394928724e-5,0.0048074906705107,2.500886599529295
LOC440525,-0.21790847161263868,7.95430515929932,-4.356783309136316,2.4492267280469406e-5,0.005236013548000214,2.3968572634547325
LOC727848,-0.20469568080563227,7.006389424462585,-4.325113599907291,2.783270504920633e-5,0.005571150247620116,2.27918497759347
FCGR1C,-0.5190856137761014,7.234330142442177,-4.31653345218284,2.8810498955476108e-5,0.005658742126092451,2.24741778586281
TNIK,0.21631471473626462,6.7814531409795915,4.2873441980159654,3.238992099686238e-5,0.00598756268969057,2.1397104713114192
CCDC82,-0.2060603801291217,6.697176843693877,-4.280071822683998,3.334601877436118e-5,0.00609262782559927,2.112963244768844
SNORD13,0.3714227932733528,9.265259461639456,4.2622320742723145,3.58074535794427e-5,0.006459531866962478,2.04749849342085
FAM26F,-0.2816714594807695,10.112680106619047,-4.220374843843031,4.228534924757146e-5,0.007068400986458409,1.8947304240103975
LOC389342,0.2395166780206061,12.351748616911564,4.201422669004421,4.5574797081124975e-5,0.007420899342339034,1.8259450438647296
PIK3AP1,-0.2414395882953309,10.375752256204082,-4.186470130180284,4.8341629851752904e-5,0.007670262707560426,1.7718461949205473
NUDT2,0.23297433395329692,7.209763073197279,4.158526986068632,5.39491544248995e-5,0.008310814347827902,1.671150650063157
FCGR1B,-0.5404635523193697,7.571915275513605,-4.154342227657012,5.484075769268813e-5,0.008366143938108821,1.6561159263977387
PRIM2,-0.2037248859381876,6.000287797687075,-4.149626546153647,5.586237533209722e-5,0.008440052919165802,1.6391879454091196
PIK3CG,0.20417638320467027,8.642663623870748,4.09864309588308,6.8135762716063807e-05,0.009350368904432407,1.4571361798504556
RNU4ATAC,0.35390891714148454,7.0500421627483,4.093747169653116,6.944144687477614e-5,0.009447042898210889,1.439747051653943
LOC649330,-0.20743859545055,8.532447069530612,-4.062942798018245,7.82216644132133e-5,0.010183165600083532,1.3307141744580848
