ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04740,Olfactory transduction,408,-0.3626701696426117,-2.0780997349483417,1e-10,3.51e-8,2.8947368421052636e-8,4368,"tags=38%, list=26%, signal=29%",390078/81050/254786/401992/26476/81300/401667/219469/5566/79501/808/343169/26737/283189/219870/392392/26664/219865/285659/81327/81328/440153/119695/119749/390152/79473/26188/219858/403282/219464/442186/128366/4995/343406/390061/219869/390437/81399/135948/403244/347169/390199/401666/390326/120787/26341/51764/390431/127623/338662/79290/51806/392390/219431/391194/126370/163688/26189/390075/81285/284532/219983/343173/79310/391192/390265/403273/390648/196335/390190/338755/119687/442191/441669/26658/283092/128368/81392/390181/219429/390093/5592/390063/816/119774/391114/343563/346517/390264/1258/26538/8392/392309/403284/441933/127077/283111/390154/286362/2774/815/134083/81099/401993/26211/389090/390067/390059/1260/121364/391196/390157/403274/390892/402317/347168/26529/26494/391109/26686/402135/26683/341418/409/283162/219482/256892/390038/5137/138882/341568/135946/219432/219447/390142/26333/284433/79544/504189/4991/4993/390036/219417/79339/441670/26248/79345/119764/441308/91860/390275/81470/5136/219477/119682
hsa04080,Neuroactive ligand-receptor interaction,362,-0.29763704745646,-1.673441226041411,5.562895523916464e-7,9.762881644473394e-5,8.051559310931725e-5,3339,"tags=29%, list=20%, signal=24%",554/2569/150/7252/5368/1443/1137/2587/2693/51738/5644/6752/2358/3358/1325/3827/2899/90226/796/2831/2689/2911/10888/53829/3357/1129/1392/4922/6869/84109/1145/5028/2898/347148/5179/55584/11255/2890/3351/5031/5027/2557/2550/2642/6753/9568/1813/1138/2905/3062/148/170589/79957/719/5443/7425/3356/1146/85569/4887/1268/2555/133/680/2564/8001/1444/51083/116443/10800/2837/2556/7442/2906/2570/6865/1909/5737/4889/9287/122876/147/5026/2918/2567/84539/399967/2913/344838/4852/2563/3952/2832/4142/6751/1241/10886/2743/117/57152/5030/2566/2893/59340/2894
hsa04621,NOD-like receptor signaling pathway,175,-0.36975227072955313,-1.8844457256944418,1.621884343576047e-6,1.897604681983975e-4,1.5649761209944311e-4,2901,"tags=35%, list=17%, signal=29%",4615/79184/3606/5580/3444/1432/10135/6300/7189/11337/59082/1670/4793/3446/841/5027/7099/3456/4210/148022/58484/64127/5603/330/3553/11345/10392/4939/79792/7158/4671/2633/414325/11035/7128/22861/3443/6772/7226/115361/29108/2634/6347/4940/4792/838/115362/10379/55669/3665/54822/4938/331/9447/837/10010/3428/834/7417/2635/114769
hsa04519,Cadherin signaling,393,-0.2669064287141246,-1.5207293139990048,2.2134816277661453e-5,0.0019423301283647925,0.0016018617043044472,4646,"tags=37%, list=28%, signal=27%",56136/51466/1008/6093/57717/374454/353288/5318/56097/56098/5664/56143/3886/9752/222662/55851/3855/375323/7005/3860/4893/1496/56125/4790/3857/79905/3889/10092/6237/3551/3883/56131/2195/286887/147409/56123/3791/8994/121391/1001/4233/56124/79838/2569/56099/56111/390792/7479/5602/1501/5663/5098/10552/8324/6331/56128/7473/3888/8936/166336/1003/1828/9620/1432/10096/1674/1855/6300/56147/5097/56132/7472/4007/83259/1012/26167/7409/4647/5100/54361/120114/22808/2557/25984/1452/57526/60437/56112/57551/5501/64405/55800/25937/7408/147138/5603/29930/26025/2555/7481/7483/6788/6324/56126/2564/54510/10095/27253/112802/83439/8689/2556/2570/4640/102/8687/4792/51384/2567/3071/56101/10184/56140/8777/3859/2563/51421/56102/122011/56106/2185/10451/56127/56122/81029/124590/3728/9475/7474/7003/125115/10297/1499/2566/56104/1824
hsa04742,Taste transduction,84,-0.4144310019041829,-1.8844297916119395,4.0867593644280896e-5,0.0026534210963723437,0.002188306497233152,3121,"tags=36%, list=19%, signal=29%",51764/50835/3359/50836/114/50831/2911/8645/255022/5028/3351/2557/2550/9568/50840/259286/259294/9033/2555/2556/80835/10021/259296/5137/6340/6338/5030/29850/5136/6328
hsa03010,Ribosome,164,0.3839958871321628,1.754574162116799,4.535762557901442e-5,0.0026534210963723437,0.002188306497233152,4787,"tags=48%, list=29%, signal=34%",6208/6167/6142/6143/2197/7818/6146/6124/6156/6125/7311/11224/6202/6188/6169/23107/6207/6222/6204/6147/6165/6191/6193/740/64960/4736/6194/6161/51187/6155/55173/6128/23521/6132/6130/25873/64965/6158/51649/64968/6209/51116/6137/84545/6218/6150/128308/6228/6138/6135/6217/55168/26589/6187/200916/6139/116541/6224/6129/6234/6157/6175/28973/6203/6173/6133/6136/6176/51069/65005/84311/51021/51121/124995/6122/63931/6206/116540
hsa05140,Leishmaniasis,75,-0.4182105609536304,-1.869615682963986,1.525189137773464e-4,0.0076477341051212275,0.006307173126130867,4109,"tags=52%, list=25%, signal=39%",3119/3460/4843/4790/3689/1536/3109/2215/3725/3108/3112/4615/1432/3113/6300/7189/4793/5777/3118/3126/7099/3117/3125/3552/5603/3553/3586/7040/1378/4688/6772/3717/7042/2214/4689/4792/3593/9103/2209
hsa03083,Polycomb repressive complex,78,0.4459406353311177,1.8321595264972406,2.370409387112256e-4,0.010400171185955024,0.008577139229682507,3275,"tags=38%, list=20%, signal=31%",7528/23492/10238/221937/23429/3720/63035/648/7322/84759/80012/2033/54881/10138/3054/6500/54554/83746/3607/54880/1460/11091/5931/23466/10600/55252/3066/64319/5252/51460
hsa04919,Thyroid hormone signaling pathway,120,0.3841767878883664,1.6932817274379428,2.8449540315783227e-4,0.011095320723155458,0.009150436943672968,3663,"tags=32%, list=22%, signal=25%",5578/8841/10000/207/5211/6256/481/2308/5295/2033/4625/5604/5330/116931/4193/9862/25942/117247/9440/5293/5894/5579/489/7249/5170/9882/5335/7067/5333/23389/2932/3066/29079/53919/8648/8202/4854/23236
hsa04150,mTOR signaling pathway,142,0.36606669744496734,1.6488187693330698,4.2352303131439084e-4,0.013514234908304654,0.011145342929326075,2305,"tags=27%, list=14%, signal=23%",5578/10000/57600/54541/207/51256/1975/5295/5604/79726/201163/84335/1856/7976/7480/83667/534/6194/64223/51606/5293/5894/6195/6196/5579/6249/3480/253314/9663/3667/7249/5170/523/9894/9296/54468/387/5562
